Site ID;Site Name;Dept;Latitude;Longitude;Class;Uplink;Ip Adress;Type;Slot Port;
NBA010;;NS PONTIANAK;;;;GPON08-D6-NGG-2SNKN;172.20.168.77;hua-ont;0 1 15 0;#REF!
NBA011;Kayuara/Sebadu/setab;NS PONTIANAK;0,353859991;109,4440002;Silver;GPON05-D6-SPY-2MNDR;172.20.168.74;hua-ont;0 1 14 7;#REF!
NBA013;Plasma_2/PLASMA2MW;NS PONTIANAK;0,387719005;109,8550034;Silver;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0/4/14 0;#REF!
NBA014;GunungMumbumRepeaterexRepeaterNgabang2-Sosok;NS PONTIANAK;0,305555999;110,1330032;Bronze;-;-;-;-;-
NBA015;Rep.Kranjiex.Betenung(Betenung-NangaTayap);NS PONTIANAK;0,345281005;109,6880035;Silver;GPON02-D6-NGG-2PHM;172.20.161.167;hua-ont;0/0/9 0;#REF!
NBA016;;NS PONTIANAK;;;;GPON02-D6-NGG-2PHM;172.20.161.167;zte-ont;0/1/7 1;#REF!
NBA017;Salatiga;NS PONTIANAK;0,326626003;109,2949982;Silver;GPON05-D6-SPY-2MNDR;172.20.168.74;hua-ont;0 1 14 8;#REF!
NBA018;Tonang/SIMPANGAIRAUR;NS PONTIANAK;0,33750999;109,5830002;Silver;SW-D6-SENAKIN-NBA005;172.20.19.108;switch;9;#REF!
NBA020;Amboyo_ex_Sidas_2/AMBOYO;NS PONTIANAK;0,381559998;109,8119965;Silver;GPON10-D6-NGG-2SDS;172.20.169.55;zte-ont;0/1/8 21;#REF!
NBA021;Ngabang3/SungaiBuluh/SEIBULUHMW;NS PONTIANAK;0,380579412;109,9611282;Platinum;ME-D6-NBA-3;172.31.150.118;metro;2/1/14;#REF!
NBA021_2;Ngabang3/SungaiBuluh/SEIBULUHMW;NS PONTIANAK;0,380579412;109,9611282;Platinum;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0 12 10 0;#REF!
NBA022;Simpang_Labos/Ngabang4;NS PONTIANAK;0,337778002;110,0100021;Silver;L2SW_NBA022;172.25.145.27;switch;5, 6;#REF!
NBA023;Tubang_Raeng/NGABANG5;NS PONTIANAK;0,323260009;110,0510025;Bronze;GPON00-D6-NGG-2;172.20.161.133;zte-ont;0/5/6 16;#REF!
NBA024;NgabangVI/JELIMPO;NS PONTIANAK;0,315263987;110,0950012;Silver;-;-;-;-;-
NBA025;PULAUKERAMAT;NS PONTIANAK;0,46164;109,9380035;Silver;-;-;-;-;-
NBA026;Engkadu_Ex_Ambarang;NS PONTIANAK;0,461930007;110,0500031;Gold;L2SW NBA026 ENGKADU;172.25.146.55;switch;ge-1, ge-2, ge-3;#REF!
NBA027;Kuala_behe;NS PONTIANAK;0,572996974;109,9940033;Gold;-;-;-;-;-
NBA029;Mandor2/KAYUARA;NS PONTIANAK;0,331656009;109,3919983;Silver;GPON05-D6-SPY-2MNDR;172.20.168.74;hua-ont;0/1/11 0;#REF!
NBA030;Sei_Temila;NS PONTIANAK;0,354059994;109,5039978;Silver;-;-;-;-;-
NBA031;Paloan/TONANG2;NS PONTIANAK;0,332578003;109,6279984;Bronze;GPON02-D6-NGG-2PHM;172.20.161.167;hua-ont;0/0/8 0;#REF!
NBA032;SEKILAP;NS PONTIANAK;0,29528001;109,4810028;Gold;-;-;-;-;-
NBA033;Meranti;NS PONTIANAK;0,704029977;109,7480011;Gold;GPON06-D6-NGG-2DRT;172.20.168.75;hua-direct_olt;0/3/0;#REF!
NBA034;AIRBESAR/AirBesar-56;NS PONTIANAK;0,746940017;110,1060028;Silver;L2SW NBA026 ENGKADU;172.25.146.55;switch;GE 5;#REF!
NBA035;PAMPANG;NS PONTIANAK;0,64744997;109,3949966;Gold;L2SW_NBA049_SIMPANG3_DARIT;172.25.146.98;switch;GE-1/1/4;#REF!
NBA036;Anik_Dingir/REP.DARIT-PLASMA2;NS PONTIANAK;0,534500003;109,7340012;Silver;SW-D6-NBA-TSEL-NBA004-4;172.25.146.33;switch;0/1/5;#REF!
NBA037;GunungPagar;NS PONTIANAK;0,326691985;109,6429977;Gold;GPON02-D6-NGG-2PHM;172.20.161.167;hua-ont;0 1 5 0;#REF!
NBA039;Gasing;NS PONTIANAK;0,383493006;109,8939972;Silver;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0/6/7 15;#REF!
NBA041;RAJA;NS PONTIANAK;0,395639002;109,9540024;Platinum;ME-D6-NBA-3;172.31.150.118;metro;2/1/20;#REF!
NBA042;Tebedak;NS PONTIANAK;0,36928001;109,9889984;Silver;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0/8/0 0;#REF!
NBA049;SIMPANG3DARIT;NS PONTIANAK;0,720556021;109,5100021;Silver;L2SW_NBA049_SIMPANG3_DARIT;172.25.146.98;switch;gei-1/1/1;#REF!
NBA050;Sebangki;NS PONTIANAK;0,113333002;109,6110001;Gold;-;-;-;-;-
NBA052;PTSGKTBULUH;NS PONTIANAK;0,475529999;109,6529999;Silver;-;-;-;-;-
NBA054;TEMPUAK;NS PONTIANAK;0,544861019;109,2669983;Bronze;-;-;-;-;-
NBA056;MT_INDORESINSPUTRAMANDIRI;NS PONTIANAK;0,526419997;110,1439972;Silver;-;-;-;-;-
NBA057;MT_ANIWILMARPAHUMAN;NS PONTIANAK;0,258410007;109,7340012;Gold;-;-;-;-;-
NBA058;MT_SEBALO;NS PONTIANAK;0,865530014;109,5550003;Bronze;GPON00-D6-BKY-2;172.20.161.137;hua-ont;0/5/11/8;#REF!
NBA059;MTSONGGA;NS PONTIANAK;0,614449978;109,598999;Silver;-;-;-;-;-
NBA061;MTAMBOYOSL;NS PONTIANAK;0,232280001;109,8649979;Gold;-;-;-;-;-
NBA062;MT_DESABERES/PAKMAYAM;NS PONTIANAK;0,370059997;109,5449982;Bronze;GPON08-D6-NGG-2SNKN;172.20.168.77;hua-ont;0/1/13 0;#REF!
NBA063;;NS PONTIANAK;;;;GPON06-D6-NGG-2DRT;172.20.168.75;hua-ont;0 1 14 1;#REF!
NBA069;MANDORKIRU;NS PONTIANAK;0,350800008;110,1060028;Bronze;-;-;-;-;-
NBA076;Leban;NS PONTIANAK;0,612860024;110,1190033;Silver;L2SW NBA026 ENGKADU;172.25.146.55;switch;GE6;#REF!
NBA077;MT_MALINDO;NS PONTIANAK;0,585030019;109,4140015;Silver;-;-;-;-;-
NBA078;MT_NGABANGUTARA;NS PONTIANAK;0,390850008;109,947998;Silver;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0 3 7 2;#REF!
NBA080;MT_JEMBATANNGABANG;NS PONTIANAK;0,388080001;109,9589996;Silver;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0/4/12 1;#REF!
NBA082;NGABANG3(KANTORBUPATI)exMT_SidomulyoMELAWI/TB_NGABANG3;NS PONTIANAK;0,37786001;109,9369965;Gold;ME-D6-NBA-3;172.31.150.118;metro;gei-0/2/0/6;#REF!
NBA084;MC_NGABANG;NS PONTIANAK;0,381738991;109,9560013;Silver;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0/3/10 0;#REF!
NBA085;PULAUBENDU;NS PONTIANAK;0,386543006;109,9720001;Silver;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0/4/13 0;#REF!
NBA086;-;NS PONTIANAK;0,380270004;109,9489975;Bronze;GPON00-D6-NGG-2;172.20.161.133;hua-ont;0/4/12 2;#REF!
NBA175;EB_BO_DSANTANRAYAN;NS PONTIANAK;;;;TSEL_NBA036_ANGITDINGIR;172.25.146.65;switch;gei-0/1/1/2;#REF!
NBA177;TBG DESA UNTANG;NS PONTIANAK;0,687470019;109,5040283;Gold;L2SW_NBA049_SIMPANG3_DARIT;172.25.146.98;switch;GE1/1/3;#REF!
NBA216;PTI_DS_BANYING;NS PONTIANAK;0,375550002;109,7235031;Gold;GPON10-D6-NGG-2SDS;172.20.169.55;hua-ont;0 1 11 1;#REF!
NBA217;KAYU TANAM;NS PONTIANAK;;;;GPON05-D6-SPY-2MNDR;172.20.168.74;hua-ont;0/1/9 10;#REF!
NBA220;;NS PONTIANAK;;;;GPON08-D6-NGG-2SNKN;172.20.168.77;hua-ont;0/1/9 2;#REF!
NBA221;;NS PONTIANAK;;;;L2SW NBA026 ENGKADU;172.25.146.55;swm;GE 4;#REF!
NBA222;;NS PONTIANAK;;;;L2SW NBA026 ENGKADU;172.25.146.55;switch;GE 8;#REF!
NGP001;MT_NANGASAYAN;NS PONTIANAK;-0,739669979;111,6800003;Silver;L2_SW_NGP001_MT_NANGASAYAN;172.25.146.94;switch;GE_1;#REF!
NGP003;Pemuar/BatuBuil;NS PONTIANAK;-0,290419996;111,6060028;Gold;GPON00-D6-NGP-2BBL;172.20.169.18;hua-ont;0 0 4 0;#REF!
